,Sample,alpha_ratio,theta_beta_ratio,valence
178,sub-015_ses-09,0.000299999999999301,0.0125830099180681,0.741
179,sub-015_ses-10_,-0.0022000000000002,0.000257919786946258,0.346
180,sub-015_ses-11_,-0.00140000000000007,-0.00646492349809259,0.696
181,sub-015_ses-12_,0.00224999999999997,0.00280679706850547,0.224
182,sub-016_ses-01,-0.00810000000000022,-0.0453109129895046,0.447
183,sub-016_ses-02,-0.0109500000000002,-0.025231144869154,0.272
184,sub-016_ses-03,0.00255000000000016,-0.0321377417699613,0.612
185,sub-016_ses-04,-0.00460000000000016,-0.0133985909819807,0.0734
186,sub-016_ses-05,-0.0136999999999999,0.00281189777050781,0.325
187,sub-016_ses-06,-0.00519999999999987,-0.00249344941256022,0.193
188,sub-016_ses-07,0.00590000000000002,-0.0403375027755163,0.149
189,sub-016_ses-08,-0.0208000000000002,-0.0117434980780096,0.504
190,sub-016_ses-09,-0.00320000000000009,-0.0360173010130769,0.741
191,sub-016_ses-10_,0.012,-0.0263626891862251,0.346
192,sub-016_ses-11_,-0.0144,-0.0202177523230517,0.696
193,sub-016_ses-12_,0.00269999999999992,-0.0295352619387906,0.224
194,sub-017_ses-01,-0.024,-0.0138058557522802,0.447
195,sub-017_ses-02,-0.00390000000000068,-0.0147623710175492,0.272
196,sub-017_ses-03,-0.00150000000000006,0.00243960879130454,0.612
197,sub-017_ses-04,-0.00659999999999972,0.00121379758097674,0.0734
198,sub-017_ses-05,0.03905,0.0257677805896392,0.325
199,sub-017_ses-06,0.0103,0.0224173523682145,0.193
200,sub-017_ses-07,0.00359999999999983,-0.0159079319950252,0.149
201,sub-017_ses-08,0.000950000000000006,0.00794755226516675,0.504
202,sub-017_ses-09,0.000799999999999912,-0.0136428936432793,0.741
203,sub-017_ses-10_,0.00439999999999997,0.00175097448252992,0.346
204,sub-017_ses-11_,-0.0112000000000001,-0.0162878638673337,0.696
205,sub-017_ses-12_,0.00969999999999999,-0.0152497048832783,0.224
206,sub-018_ses-01,-0.0077,0.00490503111400336,0.447
207,sub-018_ses-02,0.0218,0.00406484668702871,0.272
208,sub-018_ses-03,-0.00140000000000007,0.00764952955217134,0.612
209,sub-018_ses-04,-0.0230499999999996,0.00535381347586229,0.0734
210,sub-018_ses-05,-0.00270000000000037,-0.00665650108498035,0.325
211,sub-018_ses-06,-0.00150000000000006,0.0104286006289844,0.193
212,sub-018_ses-07,-0.00530000000000004,0.00383824939430566,0.149
213,sub-018_ses-08,-0.0154499999999999,-0.00218489179053111,0.504
214,sub-018_ses-09,0.0212000000000001,-0.008487919645281,0.741
215,sub-018_ses-10_,0.00760000000000005,-0.00852365823204995,0.346
216,sub-018_ses-11_,0.0263000000000009,0.0268601885031166,0.696
217,sub-018_ses-12_,-0.01385,0.0128932494490187,0.224
218,sub-019_ses-01,-0.00209999999999999,-0.00677647208890731,0.447
219,sub-019_ses-02,0.00989999999999996,-0.0154359635051671,0.272
220,sub-019_ses-03,-0.00230000000000008,-0.0157844717045107,0.612
221,sub-019_ses-04,-0.000199999999999978,-0.00128247836058607,0.0734
222,sub-019_ses-05,-0.00734999999999997,-0.0163290529041225,0.325
